Organism	Genome Source	Genome Version/Assembly ID	Is Reference Strain	Contigs	Supercontigs	Chromosomes	Species	Strain	VEuPathDB Project	taxId	asmId	genBank	refSeq	identical	sciName	comName	ucscBrowser
Taphrina deformans PYCC 5710	INSDC	GCA_000312925.2	yes	0	394	0	Taphrina deformans	PYCC 5710	FungiDB	1097556.0	GCA_000312925.2_ASM31292v2	GCA_000312925.2		False	Taphrina deformans PYCC 5710	peach leaf curl fungus (PYCC 5710 2013)	https://genome.ucsc.edu/h/GCA_000312925.2
Claviceps purpurea 20.1	INSDC	GCA_000347355.1	yes	0	191	0	Claviceps purpurea	20.1	FungiDB	1111077.0	GCA_000347355.1_ASM34735v1	GCA_000347355.1		False	Claviceps purpurea 20.1	ergot fungus (20.1 2012)	https://genome.ucsc.edu/h/GCA_000347355.1
Plasmodium cynomolgi strain B	GenBank	GCA_000321355.1	no	0	1649	14	Plasmodium cynomolgi	strain B	PlasmoDB	1120755.0	GCF_000321355.1_PcynB_1.0	GCA_000321355.1	GCF_000321355.1	True	Plasmodium cynomolgi strain B	apicomplexans P.cynomolgi strain (B 2012)	https://genome.ucsc.edu/h/GCF_000321355.1
Macrophomina phaseolina MS6	INSDC	GCA_000302655.1	yes	0	1506	0	Macrophomina phaseolina	MS6	FungiDB	1126212.0	GCA_000302655.1_MphMS6_1.0	GCA_000302655.1		False	Macrophomina phaseolina MS6	charcoal rot (MS6 2012)	https://genome.ucsc.edu/h/GCA_000302655.1
Babesia microti strain RI	GenBank	GCA_000691945.2	yes	0	0	4	Babesia microti	strain RI	PiroplasmaDB	1133968.0	GCF_000691945.2_ASM69194v2	GCA_000691945.2	GCF_000691945.2	False	Babesia microti strain RI	apicomplexans B.microti strain (RI 2015)	https://genome.ucsc.edu/h/GCF_000691945.2
Pleurotus ostreatus PC15	INSDC	GCA_000697685.1	yes	0	12	0	Pleurotus ostreatus	PC15	FungiDB	1137138.0	GCA_000697685.1_PleosPC15_2	GCA_000697685.1		False	Pleurotus ostreatus PC15	oyster mushroom (PC15 2014)	https://genome.ucsc.edu/h/GCA_000697685.1
Pleurotus ostreatus PC9	INSDC	GCF_014466165.1	no	0	16	0	Pleurotus ostreatus	PC9	FungiDB	5322.0	GCF_014466165.1_ASM1446616v1	GCA_014466165.1	GCF_014466165.1	False	Pleurotus ostreatus	oyster mushroom	https://genome.ucsc.edu/h/GCF_014466165.1
Aspergillus luchuensis CBS 106.47	GenBank	GCA_001890685.1	yes	0	100	0	Aspergillus luchuensis	CBS 106.47	FungiDB	1137211.0	GCA_001890685.1_Aspfo1	GCA_001890685.1		False	Aspergillus luchuensis CBS 106.47	ascomycetes A.luchuensis (CBS 106.47 2016)	https://genome.ucsc.edu/h/GCA_001890685.1
Anncaliia algerae Undeen	GenBank	GCA_000313815.1	no	8427	0	0	Anncaliia algerae	Undeen	MicrosporidiaDB	723287.0	GCA_000313815.1_ASM31381v1	GCA_000313815.1		False	Anncaliia algerae	microsporidians A.algerae (Undeen 2012)	https://genome.ucsc.edu/h/GCA_000313815.1
Saprolegnia diclina VS20	GenBank	GCA_000281045.1	yes	0	390	0	Saprolegnia diclina	VS20	FungiDB	1156394.0	GCF_000281045.1_Sap_diclina_VS20_V1	GCA_000281045.1	GCF_000281045.1	True	Saprolegnia diclina VS20	oomycetes (VS20 2013)	https://genome.ucsc.edu/h/GCF_000281045.1
Hortaea werneckii EXF-2000	INSDC	GCA_002127715.1	yes	0	628	0	Hortaea werneckii	EXF-2000	FungiDB	1157616.0	GCA_002127715.1_HwerPB1	GCA_002127715.1		False	Hortaea werneckii EXF-2000	ascomycetes H.werneckii (EXF-2000 2017)	https://genome.ucsc.edu/h/GCA_002127715.1
Aspergillus glaucus CBS 516.65	GenBank	GCA_001890805.1	yes	0	82	0	Aspergillus glaucus	CBS 516.65	FungiDB	1160497.0	GCF_001890805.1_Aspgl1	GCA_001890805.1	GCF_001890805.1	True	Aspergillus glaucus CBS 516.65	ascomycetes A.glaucus CBS 516.65	https://genome.ucsc.edu/h/GCF_001890805.1
Penicillium digitatum Pd1	INSDC	GCF_000315645.1	yes	0	53	0	Penicillium digitatum	Pd1	FungiDB	1170230.0	GCF_000315645.1_PdigPd1_v1	GCA_000315645.2	GCF_000315645.1	False	Penicillium digitatum Pd1	ascomycetes P.digitatum (Pd1 2012 refseq)	https://genome.ucsc.edu/h/GCF_000315645.1
Encephalitozoon romaleae SJ-2008	GenBank	GCA_000280035.2	yes	0	0	13	Encephalitozoon romaleae	SJ-2008	MicrosporidiaDB	1178016.0	GCF_000280035.1_ASM28003v2	GCA_000280035.2	GCF_000280035.1	True	Encephalitozoon romaleae SJ-2008	microsporidians E.romaleae SJ-2008	https://genome.ucsc.edu/h/GCF_000280035.1
Cladophialophora psammophila CBS 110553	INSDC	GCA_000585535.1	yes	0	123	0	Cladophialophora psammophila	CBS 110553	FungiDB	1182543.0	GCF_000585535.1_Clad_psam_CBS_110553_V1	GCA_000585535.1	GCF_000585535.1	True	Cladophialophora psammophila CBS 110553	ascomycetes C.psammophila CBS 110553	https://genome.ucsc.edu/h/GCF_000585535.1
Cladophialophora yegresii CBS 114405	INSDC	GCA_000585515.1	yes	0	8	0	Cladophialophora yegresii	CBS 114405	FungiDB	1182544.0	GCF_000585515.1_Clad_yegr_CBS_114405_V1	GCA_000585515.1	GCF_000585515.1	True	Cladophialophora yegresii CBS 114405	ascomycetes C.yegresii CBS 114405	https://genome.ucsc.edu/h/GCF_000585515.1
Exophiala aquamarina CBS 119918	INSDC	GCA_000709125.1	yes	0	151	0	Exophiala aquamarina	CBS 119918	FungiDB	1182545.0	GCF_000709125.1_Exop_aqua_CBS_119918_V1	GCA_000709125.1	GCF_000709125.1	True	Exophiala aquamarina CBS 119918	ascomycetes E.aquamarina CBS 119918	https://genome.ucsc.edu/h/GCF_000709125.1
Trichosporon asahii var. asahii CBS 2479	INSDC	GCA_000293215.1	yes	0	77	0	Trichosporon asahii	var. asahii CBS 2479	FungiDB	1186058.0	GCF_000293215.1_Trichosporon_asahii_1	GCA_000293215.1	GCF_000293215.1	True	Trichosporon asahii var. asahii CBS 2479	basidiomycetes T.asahii var. asahii CBS 2479	https://genome.ucsc.edu/h/GCF_000293215.1
Verticillium dahliae JR2	INSDC	GCA_000400815.2	yes	0	0	8	Verticillium dahliae	JR2	FungiDB	1202531.0	GCA_000400815.2_VDAG_JR2v.4.0	GCA_000400815.2		False	Verticillium dahliae JR2	ascomycetes V.dahliae (JR2 2014)	https://genome.ucsc.edu/h/GCA_000400815.2
Leishmania aethiopica L147	GenBank	GCA_000444285.2	yes	0	124	36	Leishmania aethiopica	L147	TriTrypDB	1206056.0	GCA_000444285.2_Leishmania_aethiopica-L147-2.0.3	GCA_000444285.2		False	Leishmania aethiopica L147	Leishmania aethiopica (L147 2016)	https://genome.ucsc.edu/h/GCA_000444285.2
Leishmania tropica L590	GenBank	GCA_000410715.1	yes	0	124	36	Leishmania tropica	L590	TriTrypDB	1206058.0	GCA_000410715.1_Leishmania_tropica_L590-2.0.2	GCA_000410715.1		False	Leishmania tropica L590	Leishmania tropica (L590 2013)	https://genome.ucsc.edu/h/GCA_000410715.1
Trypanosoma cruzi Tula cl2	GenBank	GCA_000365225.1	no	43931	1780	0	Trypanosoma cruzi	Tula cl2	TriTrypDB	1206070.0	GCA_000365225.1_Trypanosoma_cruzi_Tula_cl2-1.0.1	GCA_000365225.1		False	Trypanosoma cruzi Tula cl2	Trypanosoma cruzi (Tula cl2 2013)	https://genome.ucsc.edu/h/GCA_000365225.1
Pneumocystis jirovecii SE8	GenBank	GCA_000333975.2	yes	0	328	0	Pneumocystis jirovecii	SE8	FungiDB	42068.0	GCA_000333975.2_ASM33397v2	GCA_000333975.2		False	Pneumocystis jirovecii	ascomycetes P.jirovecii (SE8 2012)	https://genome.ucsc.edu/h/GCA_000333975.2
Cyphellophora europaea CBS 101466	GenBank	GCA_000365145.2	yes	0	19	0	Cyphellophora europaea	CBS 101466	FungiDB	1220924.0	GCF_000365145.1_Phia_euro_CBS_101466_V1	GCA_000365145.2	GCF_000365145.1	True	Cyphellophora europaea CBS 101466	ascomycetes C.europaea CBS 101466	https://genome.ucsc.edu/h/GCF_000365145.1
Mucor circinelloides 1006PhL	GenBank	GCA_000401635.1	yes	0	470	0	Mucor circinelloides	1006PhL	FungiDB	1220926.0	GCA_000401635.1_Muco_sp_1006Ph_V1	GCA_000401635.1		False	Mucor circinelloides 1006PhL	fungi M.circinelloides (1006PhL 2013)	https://genome.ucsc.edu/h/GCA_000401635.1
Fusarium proliferatum ET1	GenBank	GCA_900067095.1	yes	32	0	0	Fusarium proliferatum	ET1	FungiDB	1227346.0	GCF_900067095.1_F._proliferatum_ET1_version_1	GCA_900067095.1	GCF_900067095.1	True	Fusarium proliferatum ET1	ascomycetes F.proliferatum ET1	https://genome.ucsc.edu/h/GCF_900067095.1
Fusarium oxysporum f. sp. cubense race 1	GenBank	GCA_000350345.1	no	0	1341	0	Fusarium oxysporum	f. sp. cubense race 1	FungiDB	1229664.0	GCA_000350345.1_Foc1_1.0	GCA_000350345.1		False	Fusarium oxysporum f. sp. cubense race 1	ascomycetes F.oxysporum f. sp. cubense (race 1 2013)	https://genome.ucsc.edu/h/GCA_000350345.1
Malassezia sympodialis ATCC 42132	INSDC	GCA_900149145.1	yes	0	0	8	Malassezia sympodialis	ATCC 42132	FungiDB	1230383.0	GCA_900149145.1_Msy_ATCC_42132_Feb2016	GCA_900149145.1		False	Malassezia sympodialis ATCC 42132	basidiomycetes M.sympodialis (ATCC 42132 2017)	https://genome.ucsc.edu/h/GCA_900149145.1
Plasmodium inui San Antonio 1	GenBank	GCA_000524495.1	yes	0	323	0	Plasmodium inui	San Antonio 1	PlasmoDB	1237626.0	GCF_000524495.1_Plas_inui_San_Antonio_1_V1	GCA_000524495.1	GCF_000524495.1	True	Plasmodium inui San Antonio 1	apicomplexans P.inui (San Antonio 1 2014)	https://genome.ucsc.edu/h/GCF_000524495.1
Anncaliia algerae PRA109	GenBank	GCA_000385855.2	yes	0	7113	0	Anncaliia algerae	PRA109	MicrosporidiaDB	1240240.0	GCA_000385855.2_Annc_alge_PRA109_V4	GCA_000385855.2		False	Anncaliia algerae PRA109	microsporidians A.algerae (PRA109 2014)	https://genome.ucsc.edu/h/GCA_000385855.2
Emmonsia crescens UAMH 3008	INSDC	GCA_001008285.1	yes	0	1734	0	Emmonsia crescens	UAMH 3008	FungiDB	1247875.0	GCA_001008285.1_ASM100828v1	GCA_001008285.1		False	Emmonsia crescens UAMH 3008	ascomycetes E.crescens (UAMH 3008 2015)	https://genome.ucsc.edu/h/GCA_001008285.1
Acanthamoeba castellanii str. Neff	GenBank	GCA_000313135.1	yes	0	384	0	Acanthamoeba castellanii	str. Neff	AmoebaDB	1257118.0	GCF_000313135.1_Acastellanii.strNEFF_v1	GCA_000313135.1	GCF_000313135.1	True	Acanthamoeba castellanii str. Neff	A.castellanii str. (Neff 2013)	https://genome.ucsc.edu/h/GCF_000313135.1
Ophiostoma piceae UAMH 11346	INSDC	GCA_000410735.1	yes	0	45	0	Ophiostoma piceae	UAMH 11346	FungiDB	1262450.0	GCA_000410735.1_Opiceae_UAMHv01	GCA_000410735.1		False	Ophiostoma piceae UAMH 11346	ascomycetes O.piceae (UAMH 11346 2013)	https://genome.ucsc.edu/h/GCA_000410735.1
Lichtheimia corymbifera JMRC:FSU:9682	INSDC	GCA_000723665.1	yes	0	209	0	Lichtheimia corymbifera	JMRC:FSU:9682	FungiDB	1263082.0	GCA_000723665.1_454Minimus	GCA_000723665.1		False	Lichtheimia corymbifera JMRC:FSU:9682	mucoromycotan L.corymbifera JMRC:FSU:9682 (FSU 9682 2014)	https://genome.ucsc.edu/h/GCA_000723665.1
Plasmodium vivax Sal-1	GenBank	GCA_000002415.2	no	2733	0	14	Plasmodium vivax	Sal-1	PlasmoDB	5855.0	GCF_000002415.2_ASM241v2	GCA_000002415.2	GCF_000002415.2	False	Plasmodium vivax	malaria parasite P. vivax (Salvador I 2009)	https://genome.ucsc.edu/h/GCF_000002415.2
Blumeria graminis f. sp. tritici 96224	INSDC	GCA_900519115.1	yes	0	0	12	Blumeria graminis	f. sp. tritici 96224	FungiDB	62690.0	GCA_900519115.1_Bgt_genome_v3.16	GCA_900519115.1		False	Blumeria graminis f. sp. tritici	grass mildew (2019)	https://genome.ucsc.edu/h/GCA_900519115.1
Metarhizium anisopliae ARSEF 549	INSDC	GCA_000814975.1	yes	0	74	0	Metarhizium anisopliae	ARSEF 549	FungiDB	1276135.0	GCA_000814975.1_MAN_1.0	GCA_000814975.1		False	Metarhizium anisopliae ARSEF 549	ascomycetes M.anisopliae (ARSEF 549 2015)	https://genome.ucsc.edu/h/GCA_000814975.1
Zymoseptoria tritici ST99CH_3D1	INSDC	GCA_900184105.1	no	0	0	21	Zymoseptoria tritici	ST99CH_3D1	FungiDB	1276537.0	GCA_900184105.1_ST99CH_3D1	GCA_900184105.1		False	Zymoseptoria tritici ST99CH_3D1	ascomycetes Z.tritici ST99CH_3D1 (2017)	https://genome.ucsc.edu/h/GCA_900184105.1
Cladophialophora carrionii CBS 160.54	INSDC	GCA_000365165.2	no	0	19	0	Cladophialophora carrionii	CBS 160.54	FungiDB	1279043.0	GCF_000365165.1_Clad_carr_CBS_160_54_V1	GCA_000365165.2	GCF_000365165.1	True	Cladophialophora carrionii CBS 160.54	ascomycetes C.carrionii CBS 160.54	https://genome.ucsc.edu/h/GCF_000365165.1
Fusarium fujikuroi IMI 58289	GenBank	GCA_900079805.1	yes	0	0	12	Fusarium fujikuroi	IMI 58289	FungiDB	1279085.0	GCF_900079805.1_Fusarium_fujikuroi_IMI58289_V2	GCA_900079805.1	GCF_900079805.1	True	Fusarium fujikuroi IMI 58289	ascomycetes F.fujikuroi IMI 58289	https://genome.ucsc.edu/h/GCF_900079805.1
Stachybotrys chartarum IBT 40293	INSDC	GCA_000732565.1	yes	0	2342	0	Stachybotrys chartarum	IBT 40293	FungiDB	1280524.0	GCA_000732565.1_S40293v1	GCA_000732565.1		False	Stachybotrys chartarum IBT 40293	ascomycetes S.chartarum (IBT 40293 2014)	https://genome.ucsc.edu/h/GCA_000732565.1
Anncaliia algerae PRA339	GenBank	GCA_000385875.2	no	0	431	0	Anncaliia algerae	PRA339	MicrosporidiaDB	1288291.0	GCA_000385875.2_Annc_alge_insect_USDA_JJB_V2	GCA_000385875.2		False	Anncaliia algerae PRA339	microsporidians A.algerae (PRA339 2014)	https://genome.ucsc.edu/h/GCA_000385875.2
Leishmania panamensis MHOM/COL/81/L13	GenBank	GCA_000340495.1	yes	0	820	36	Leishmania panamensis	MHOM/COL/81/L13	TriTrypDB	1295824.0	GCA_000340495.1_Leishmania_panamensis_L13-1.3.1	GCA_000340495.1		False	Leishmania panamensis MHOM/COL/81/L13	Leishmania panamensis (MHOM/COL/81/L13 2013)	https://genome.ucsc.edu/h/GCA_000340495.1
Leishmania braziliensis MHOM/BR/75/M2903	GenBank	GCA_000340355.2	no	0	709	35	Leishmania braziliensis	MHOM/BR/75/M2903	TriTrypDB	1295825.0	GCA_000340355.2_Leishmania_braziliensis_M2903-1.0.6	GCA_000340355.2		False	Leishmania braziliensis MHOM/BR/75/M2903	Leishmania braziliensis (MHOM/BR/75/M2903 2016 kinetoplastids)	https://genome.ucsc.edu/h/GCA_000340355.2
Cryptococcus gattii EJB2	GenBank	GCA_000835745.1	no	0	282	0	Cryptococcus gattii VGI	EJB2	FungiDB	1296103.0	GCA_000835745.1_Cryp_gatt_EJB2_V1	GCA_000835745.1		False	Cryptococcus gattii EJB2	basidiomycetes C.gattii (EJB2 2015)	https://genome.ucsc.edu/h/GCA_000835745.1
Cryptococcus gattii NT-10	GenBank	GCA_000935105.1	no	0	226	0	Cryptococcus gattii VGI	NT10	FungiDB	1296108.0	GCA_000935105.1_Cryp_gatt_NT-10_V1	GCA_000935105.1		False	Cryptococcus gattii NT-10	basidiomycetes C.gattii (NT-10 2015)	https://genome.ucsc.edu/h/GCA_000935105.1
Cryptococcus gattii CA1873	GenBank	GCA_000855695.1	no	0	33	0	Cryptococcus gattii VGIII	CA1873	FungiDB	1296111.0	GCA_000855695.1_Cryp_gatt_CA1873_V1	GCA_000855695.1		False	Cryptococcus bacillisporus CA1873	basidiomycetes C.bacillisporus (CA1873 2015)	https://genome.ucsc.edu/h/GCA_000855695.1
Kwoniella heveanensis CBS 569	GenBank	GCA_000507425.3	yes	0	242	0	Kwoniella heveanensis	CBS 569	FungiDB	1296119.0	GCA_000507425.3_Cryp_heve_CBS569_V2	GCA_000507425.3		False	Kwoniella heveanensis CBS 569	basidiomycetes K.heveanensis (CBS 569 2016)	https://genome.ucsc.edu/h/GCA_000507425.3
Lentinus tigrinus ALCF2SS1-7	INSDC	GCA_003813185.1	yes	0	207	0	Lentinus tigrinus	ALCF2SS1-7	FungiDB	1328758.0	GCA_003813185.1_Lenti7_1	GCA_003813185.1		False	Lentinus tigrinus ALCF2SS1-7	basidiomycetes L.tigrinus (ALCF2SS1-7 2018)	https://genome.ucsc.edu/h/GCA_003813185.1
Aspergillus niger ATCC 13496	GenBank	GCA_003344705.1	no	0	133	0	Aspergillus niger	ATCC 13496	FungiDB	1353008.0	GCA_003344705.1_Aspni_bvT_1	GCA_003344705.1		False	Aspergillus niger ATCC 13496	ascomycetes A.niger (ATCC 13496 2018)	https://genome.ucsc.edu/h/GCA_003344705.1
Ordospora colligata OC4	GenBank	GCA_000803265.1	yes	15	0	0	Ordospora colligata	OC4	MicrosporidiaDB	1354746.0	GCF_000803265.1_ASM80326v1	GCA_000803265.1	GCF_000803265.1	True	Ordospora colligata OC4	microsporidians O.colligata OC4	https://genome.ucsc.edu/h/GCF_000803265.1
Encephalitozoon cuniculi EcunIII-L	GenBank	GCA_001078035.1	no	0	0	15	Encephalitozoon cuniculi	EcunIII-L	MicrosporidiaDB	1355160.0	GCA_001078035.1_ECIIIL	GCA_001078035.1		False	Encephalitozoon cuniculi EcunIII-L	microsporidians E.cuniculi (EcunIII-L 2015)	https://genome.ucsc.edu/h/GCA_001078035.1
Spraguea lophii 42_110	GenBank	GCA_000430065.1	yes	1392	0	0	Spraguea lophii	42_110	MicrosporidiaDB	1358809.0	GCA_000430065.1_Sprlop1.0	GCA_000430065.1		False	Spraguea lophii 42_110	microsporidians S.lophii (42_110 2013)	https://genome.ucsc.edu/h/GCA_000430065.1
Aspergillus campestris IBT 28561	GenBank	GCA_002847485.1	yes	62	0	0	Aspergillus campestris	IBT 28561	FungiDB	1392248.0	GCF_002847485.1_Aspcam1	GCA_002847485.1	GCF_002847485.1	True	Aspergillus campestris IBT 28561	ascomycetes A.campestris IBT 28561	https://genome.ucsc.edu/h/GCF_002847485.1
Aspergillus steynii IBT 23096	GenBank	GCA_002849105.1	yes	37	0	0	Aspergillus steynii	IBT 23096	FungiDB	1392250.0	GCF_002849105.1_Aspste1	GCA_002849105.1	GCF_002849105.1	True	Aspergillus steynii IBT 23096	ascomycetes A.steynii IBT 23096	https://genome.ucsc.edu/h/GCF_002849105.1
Aspergillus novofumigatus IBT 16806	GenBank	GCA_002847465.1	yes	62	0	0	Aspergillus novofumigatus	IBT 16806	FungiDB	1392255.0	GCF_002847465.1_Aspnov1	GCA_002847465.1	GCF_002847465.1	True	Aspergillus novofumigatus IBT 16806	ascomycetes A.novofumigatus IBT 16806	https://genome.ucsc.edu/h/GCF_002847465.1
Aspergillus ochraceoroseus IBT 24754	GenBank	GCA_002846915.2	yes	34	0	0	Aspergillus ochraceoroseus	IBT 24754	FungiDB	1392256.0	GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1	GCA_002846915.2	GCF_002846915.1	True	Aspergillus ochraceoroseus IBT 24754	ascomycetes A.ochraceoroseus IBT 24754	https://genome.ucsc.edu/h/GCF_002846915.1
Cryptococcus neoformans var. neoformans XL280	INSDC	GCA_002216205.1	no	0	32	5	Cryptococcus neoformans	var. neoformans XL280	FungiDB	1396488.0	GCA_002216205.1_ASM221620v1	GCA_002216205.1		False	Cryptococcus neoformans var. neoformans XL280	basidiomycetes C.neoformans var. neoformans (XL280 2017)	https://genome.ucsc.edu/h/GCA_002216205.1
Sporothrix schenckii 1099-18	GenBank	GCA_000961545.1	yes	15	0	0	Sporothrix schenckii	1099-18	FungiDB	1397361.0	GCF_000961545.1_S_schenckii_v1	GCA_000961545.1	GCF_000961545.1	True	Sporothrix schenckii 1099-18	ascomycetes S.schenckii (1099-18 2015 refseq)	https://genome.ucsc.edu/h/GCF_000961545.1
Sporothrix brasiliensis 5110	GenBank	GCA_000820605.1	yes	12	0	0	Sporothrix brasiliensis	5110	FungiDB	1398154.0	GCF_000820605.1_S_brasiliensis_5110_v1	GCA_000820605.1	GCF_000820605.1	True	Sporothrix brasiliensis 5110	ascomycetes S.brasiliensis 5110	https://genome.ucsc.edu/h/GCF_000820605.1
Pneumocystis jirovecii RU7	INSDC	GCA_001477535.1	no	0	70	0	Pneumocystis jirovecii	RU7	FungiDB	1408657.0	GCF_001477535.1_Pneu_jiro_RU7_V2	GCA_001477535.1	GCF_001477535.1	True	Pneumocystis jirovecii RU7	ascomycetes P.jirovecii RU7	https://genome.ucsc.edu/h/GCF_001477535.1
Pneumocystis carinii B80	INSDC	GCF_001477545.1	yes	0	62	0	Pneumocystis carinii	B80	FungiDB	1408658.0	GCF_001477545.1_Pneu_cari_B80_V3	GCA_001477545.1	GCF_001477545.1	True	Pneumocystis carinii B80	ascomycetes P.carinii B80	https://genome.ucsc.edu/h/GCF_001477545.1
Trypanosoma cruzi Dm28c 2014	GenBank	GCA_000496795.1	no	1210	0	0	Trypanosoma cruzi	Dm28c 2014	TriTrypDB	1416333.0	GCA_000496795.1_T.cruzi.Dm28c_v01	GCA_000496795.1		False	Trypanosoma cruzi Dm28c	Trypanosoma cruzi (Dm28c 2013)	https://genome.ucsc.edu/h/GCA_000496795.1
